20012;Limpieza;20064;Fosforos Y Velas;20335;Encendedores
20012;Limpieza;20065;Insecticidas;20344;Polillas
20012;Limpieza;20069;Limpieza De Pisos Y Superficies;20359;Lustramuebles
20012;Limpieza;20069;Limpieza De Pisos Y Superficies;20361;Toalla Desinfectante
20012;Limpieza;20061;Cuidado De La Ropa;20318;Aprestos
20012;Limpieza;20065;Insecticidas;20346;Repelentes
20012;Limpieza;20066;Lavandinas;20348;Lavandinas Liquidas
20012;Limpieza;20070;Papeles;20365;Papel Higienico
20012;Limpieza;20068;Limpieza De Cocina;20352;Detergentes
20013;Mascotas;20072;Alimentos Para Mascotas;20372;Alimento  Para Perro
20013;Mascotas;20072;Alimentos Para Mascotas;20373;Alimento Para Gato
20012;Limpieza;20061;Cuidado De La Ropa;20322;Suavizantes
20010;Frescos;20054;Lacteos;20291;Mantecas Y Margarinas
20011;Kiosco;20059;Golosinas;20303;Chicles
20011;Kiosco;20059;Golosinas;20305;Gomitas
20011;Kiosco;20058;Cigarrillos;20301;Cigarrillos
20011;Kiosco;20059;Golosinas;20308;Obleas Y Galletitas Bañadas
20011;Kiosco;20059;Golosinas;20309;Pastillas
20006;Congelados;20035;Congelados;20190;Papas Congeladas
20006;Congelados;20035;Congelados;20191;Pescados Y Mariscos Congelados
20008;Ferreteria Y Automotor;20045;Automotor;20251;Accesorios Automotor
20009;Fiestas;20049;Navidad;20268;Fiestas
20008;Ferreteria Y Automotor;20046;Electricidad;20254;Alargues Y Zapatillas
20008;Ferreteria Y Automotor;20046;Electricidad;20256;Tubos Y Lamparitas
20009;Fiestas;20049;Navidad;20270;Pascuas
20007;Electro;20039;Cuidado Personal Y Salud;20206;Balanzas
20007;Electro;20040;Heladeras, Cocinas, Lavarropas Y Lavavajillas;20215;Heladeras
20008;Ferreteria Y Automotor;20047;Ferreteria;20261;Seguridad
20007;Electro;20042;Pequeños Electrodomesticos;20229;Cortadoras De Fiambre
20010;Frescos;20050;Carniceria;20278;Sustitutos Carnicos
20001;Aire Libre;20005;Piletas;20027;Juegos Y Accesorios
20001;Aire Libre;20005;Piletas;20030;Textil Pileta
20002;Almacen;20007;Aceites Y Condimentos;20035;Jugos De Limon
20002;Almacen;20008;Aderezos Y Salsas;20039;Salsas Frias
20002;Almacen;20010;Caldos,Sopas Y Puré;20046;Salsas Preparadas
20003;Bazar Y Hogar;20020;Cocina;20100;Horno Y Reposteria
20003;Bazar Y Hogar;20020;Cocina;20109;Utensilios De Cocina
20003;Bazar Y Hogar;20022;Dormitorio;20119;Almohadones Silla
20002;Almacen;20012;Enlatados  Y Conservas;20061;Conservas De Pescado
20002;Almacen;20018;Snacks;20086;Palitos De Maiz
20002;Almacen;20016;Pastas;20075;Pastas Listas
20002;Almacen;20017;Postres Y Reposteria;20079;Premezclas Horneables
20002;Almacen;20018;Snacks;20083;Mani
20002;Almacen;20011;Desayuno Y Merienda;20053;Cereales Y Granola
20002;Almacen;20011;Desayuno Y Merienda;20054;Galletitas, Tostadas Y Grisines
20002;Almacen;20011;Desayuno Y Merienda;20055;Mermeladas Y Dulces
20004;Bebes Y Niños;20028;Comida Para Bebe;20138;Cereal Infantil
20004;Bebes Y Niños;20028;Comida Para Bebe;20139;Leches Infantiles
20003;Bazar Y Hogar;20025;Organización Del Hogar;20131;Cestos De Residuos
20001;Aire Libre;20002;Deportes Y Fitnes;20017;Pelotas
20001;Aire Libre;20001;Camping;20001;Almohadas De Viaje
20001;Aire Libre;20001;Camping;20005;Conservadoras Y Luncheras
20001;Aire Libre;20002;Deportes Y Fitnes;20011;Caminadora
20005;Bebidas;20033;Bebidas Con Alcohol;20177;Vinos
20005;Bebidas;20034;Bebidas Sin Alcohol;20179;Aguas Y Sodas
20012;Limpieza;20063;Desodorantes De Ambiente;20332;Aromatizantes
20014;Perfumeria;20078;Cuidado Oral;20393;Enjuagues Bucales
