CDSUCURSAL;DSSUCURSAL;SKUID;CDARTICULO;VLDESCRIPCION;ID_CANAL;PRICEOF;DTFROMOF;DTTOOF
0020;Santa Fe ;156926;156926;Jugo en polvo CLIGHT manzana verdex7.5gr;VE ;16,49;21/9/2021;27/9/2021
0020;Santa Fe ;156079;156079;Jugo en polvo CLIGHT nara/mango x7/8.5gr;VE ;16,49;21/9/2021;27/9/2021
0020;Santa Fe ;156060;156060;Jugo en polvo CLIGHT naranja dulcex7.5gr;VE ;16,49;21/9/2021;27/9/2021
0020;Santa Fe ;156647;156647;Jugo en polvo CLIGHT naranja x8gr;VE ;16,49;21/9/2021;27/9/2021
0020;Santa Fe ;156646;156646;Jugo en polvo CLIGHT nrja/dur.x7.5/8.5gr;VE ;16,49;21/9/2021;27/9/2021
0020;Santa Fe ;156924;156924;Jugo en polvo CLIGHT pera x7gr;VE ;16,49;21/9/2021;27/9/2021
0020;Santa Fe ;156927;156927;Jugo en polvo CLIGHT pom.rosado x8/9.5gr;VE ;16,49;21/9/2021;27/9/2021
0020;Santa Fe ;156928;156928;Jugo en polvo CLIGHT pomelo amarillox8gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;176897;176897;Cacao NESQUIK con vitaminas x180gr;VE ;66,99;21/9/2021;27/9/2021
0021;Mar del Plata;174536;174536;Limpiador CIF crema original x750gr;VE ;109;21/9/2021;27/9/2021
0021;Mar del Plata;174537;174537;Limpiador CIF crema limon x750gr;VE ;109;21/9/2021;27/9/2021
0021;Mar del Plata;175502;175502;Crema dental COLGATE herbal x70gr;VE ;68,99;21/9/2021;27/9/2021
0021;Mar del Plata;156925;156925;Jugo en polvo CLIGHT anana x7/9gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156645;156645;Jugo en polvo CLIGHT limonada x7.5/8gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;171949;171949;Jugo en polvo CLIGHT limonada/pepinox8gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156929;156929;Jugo en polvo CLIGHT mandarina diet x8gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156891;156891;Jugo en polvo CLIGHT manz.delic.x7/7.5gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156926;156926;Jugo en polvo CLIGHT manzana verdex7.5gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156079;156079;Jugo en polvo CLIGHT nara/mango x7/8.5gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156060;156060;Jugo en polvo CLIGHT naranja dulcex7.5gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156647;156647;Jugo en polvo CLIGHT naranja x8gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156646;156646;Jugo en polvo CLIGHT nrja/dur.x7.5/8.5gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156924;156924;Jugo en polvo CLIGHT pera x7gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156927;156927;Jugo en polvo CLIGHT pom.rosado x8/9.5gr;VE ;16,49;21/9/2021;27/9/2021
0021;Mar del Plata;156928;156928;Jugo en polvo CLIGHT pomelo amarillox8gr;VE ;16,49;21/9/2021;27/9/2021
